site,sampler_id,deployed,deployment_days,prc,mass_ng
Lake Naivasha,LN-C1,30 June 2016,20,PCB104,117.023
Lake Naivasha,LN-C1,30 June 2016,20,PCB078,112.393
Lake Naivasha,LN-C1,30 June 2016,20,PCB145,114.796
Lake Naivasha,LN-C1,30 June 2016,20,PCB204,121.715
Lake Naivasha,LN-C2,30 June 2016,20,BIP-D10,2.071
Lake Naivasha,LN-C2,30 June 2016,20,PCB001,3.939
Lake Naivasha,LN-C2,30 June 2016,20,PCB002,14.696
Lake Naivasha,LN-C2,30 June 2016,20,PCB003,9.786
Lake Naivasha,LN-C2,30 June 2016,20,PCB010,27.801
Lake Naivasha,LN-C2,30 June 2016,20,PCB014,70.059
Lake Naivasha,LN-C2,30 June 2016,20,PCB030,80.14
Lake Naivasha,LN-C2,30 June 2016,20,PCB021,105.416
Lake Naivasha,LN-C2,30 June 2016,20,PCB050,99.714
Lake Naivasha,LN-C2,30 June 2016,20,PCB055,124.189
Lake Naivasha,LN-C2,30 June 2016,20,PCB104,124.757
Lake Naivasha,LN-C2,30 June 2016,20,PCB078,124.273
Lake Naivasha,LN-C2,30 June 2016,20,PCB145,111.791
Lake Naivasha,LN-C2,30 June 2016,20,PCB204,144.075
Lake Naivasha,LN-C3,30 June 2016,20,BIP-D10,2.797
Lake Naivasha,LN-C3,30 June 2016,20,PCB001,3.868
Lake Naivasha,LN-C3,30 June 2016,20,PCB002,13.938
Lake Naivasha,LN-C3,30 June 2016,20,PCB003,11.248
Lake Naivasha,LN-C3,30 June 2016,20,PCB010,28.777
Lake Naivasha,LN-C3,30 June 2016,20,PCB014,72.474
Lake Naivasha,LN-C3,30 June 2016,20,PCB030,86.534
Lake Naivasha,LN-C3,30 June 2016,20,PCB021,89.522
Lake Naivasha,LN-C3,30 June 2016,20,PCB050,122.637
Lake Naivasha,LN-C3,30 June 2016,20,PCB055,123.333
Lake Naivasha,LN-C3,30 June 2016,20,PCB104,125.732
Lake Naivasha,LN-C3,30 June 2016,20,PCB078,104.369
Lake Naivasha,LN-C3,30 June 2016,20,PCB145,137.852
Lake Naivasha,LN-C3,30 June 2016,20,PCB204,131.175
Lake Naivasha,LN-D1,20 June 2016,30,BIP-D10,2.317
Lake Naivasha,LN-D1,20 June 2016,30,PCB001,2.256
Lake Naivasha,LN-D1,20 June 2016,30,PCB002,6.638
Lake Naivasha,LN-D1,20 June 2016,30,PCB003,7.014
Lake Naivasha,LN-D1,20 June 2016,30,PCB010,14.146
Lake Naivasha,LN-D1,20 June 2016,30,PCB014,51.77
Lake Naivasha,LN-D1,20 June 2016,30,PCB030,77.748
Lake Naivasha,LN-D1,20 June 2016,30,PCB021,77.0
Lake Naivasha,LN-D1,20 June 2016,30,PCB050,105.957
Lake Naivasha,LN-D1,20 June 2016,30,PCB055,111.504
Lake Naivasha,LN-D1,20 June 2016,30,PCB104,126.284
Lake Naivasha,LN-D1,20 June 2016,30,PCB078,122.15
Lake Naivasha,LN-D1,20 June 2016,30,PCB145,127.628
Lake Naivasha,LN-D1,20 June 2016,30,PCB204,135.023
Lake Naivasha,LN-D2,20 June 2016,30,BIP-D10,2.778
Lake Naivasha,LN-D2,20 June 2016,30,PCB001,4.14
Lake Naivasha,LN-D2,20 June 2016,30,PCB002,5.454
Lake Naivasha,LN-D2,20 June 2016,30,PCB003,4.886
Lake Naivasha,LN-D2,20 June 2016,30,PCB010,13.756
Lake Naivasha,LN-D2,20 June 2016,30,PCB014,46.789
Lake Naivasha,LN-D2,20 June 2016,30,PCB030,72.747
Lake Naivasha,LN-D2,20 June 2016,30,PCB021,87.504
Lake Naivasha,LN-D2,20 June 2016,30,PCB050,98.357
Lake Naivasha,LN-D2,20 June 2016,30,PCB055,118.131
Lake Naivasha,LN-D2,20 June 2016,30,PCB104,117.714
Lake Naivasha,LN-D2,20 June 2016,30,PCB078,115.48
Lake Naivasha,LN-D2,20 June 2016,30,PCB145,115.905
Lake Naivasha,LN-D2,20 June 2016,30,PCB204,114.87
Lake Naivasha,LN-D3,20 June 2016,30,BIP-D10,3.837
Lake Naivasha,LN-D3,20 June 2016,30,PCB001,2.897
Lake Naivasha,LN-D3,20 June 2016,30,PCB002,5.555
Lake Naivasha,LN-D3,20 June 2016,30,PCB003,5.313
Lake Naivasha,LN-D3,20 June 2016,30,PCB010,14.027
Lake Naivasha,LN-D3,20 June 2016,30,PCB014,51.462
Lake Naivasha,LN-D3,20 June 2016,30,PCB030,74.288
Lake Naivasha,LN-D3,20 June 2016,30,PCB021,81.166
Lake Naivasha,LN-D3,20 June 2016,30,PCB050,111.345
Lake Naivasha,LN-D3,20 June 2016,30,PCB055,110.01
Lake Naivasha,LN-D3,20 June 2016,30,PCB104,122.312
Lake Naivasha,LN-D3,20 June 2016,30,PCB078,118.023
Lake Naivasha,LN-D3,20 June 2016,30,PCB145,112.796
Lake Naivasha,LN-D3,20 June 2016,30,PCB204,129.255
